iter	Passed	Remaining
0	346	346150
1	359	179596
2	372	123839
3	382	95304
4	393	78320
5	405	67217
6	415	58954
7	425	52778
8	437	48225
9	447	44349
10	458	41191
11	470	38715
12	480	36482
13	491	34599
14	503	33040
15	513	31590
16	524	30314
17	536	29245
18	547	28264
19	557	27311
20	568	26525
21	580	25796
22	590	25074
23	601	24475
24	616	24034
25	627	23518
26	639	23039
27	651	22631
28	665	22296
29	679	21971
30	689	21555
31	703	21266
32	716	20991
33	730	20759
34	742	20462
35	752	20137
36	763	19867
37	774	19607
38	784	19319
39	796	19110
40	807	18886
41	817	18650
42	829	18467
43	841	18274
44	851	18061
45	862	17879
46	874	17721
47	883	17527
48	894	17368
49	906	17222
50	917	17064
51	928	16922
52	939	16794
53	949	16636
54	960	16507
55	972	16387
56	982	16251
57	993	16136
58	1004	16027
59	1014	15895
60	1025	15787
61	1037	15692
62	1046	15570
63	1058	15483
64	1070	15391
65	1079	15281
66	1091	15196
67	1103	15117
68	1112	15016
69	1124	14933
70	1137	14880
71	1150	14825
72	1160	14735
73	1173	14681
74	1187	14647
75	1201	14606
76	1211	14521
77	1224	14475
78	1237	14431
79	1252	14401
80	1264	14345
81	1274	14269
82	1286	14209
83	1297	14154
84	1307	14078
85	1319	14019
86	1330	13962
87	1340	13887
88	1352	13845
89	1365	13807
90	1378	13772
91	1389	13715
92	1401	13671
93	1414	13635
94	1425	13583
95	1435	13519
96	1447	13479
97	1459	13431
98	1468	13368
99	1480	13322
100	1491	13272
101	1500	13209
102	1512	13168
103	1523	13129
104	1533	13075
105	1545	13037
106	1556	12988
107	1566	12941
108	1578	12902
109	1588	12854
110	1598	12804
111	1610	12767
112	1620	12719
113	1630	12673
114	1642	12643
115	1652	12593
116	1663	12553
117	1675	12523
118	1685	12474
119	1695	12433
120	1707	12402
121	1720	12382
122	1730	12337
123	1743	12318
124	1757	12301
125	1767	12260
126	1780	12237
127	1792	12214
128	1806	12197
129	1817	12161
130	1827	12123
131	1840	12099
132	1850	12065
133	1860	12023
134	1872	11996
135	1881	11955
136	1893	11929
137	1904	11897
138	1916	11870
139	1925	11829
140	1937	11801
141	1946	11763
142	1957	11730
143	1968	11704
144	1978	11665
145	1989	11637
146	2001	11612
147	2010	11575
148	2021	11544
149	2032	11519
150	2042	11484
151	2053	11456
152	2065	11435
153	2075	11403
154	2086	11376
155	2098	11353
156	2108	11321
157	2119	11294
158	2130	11270
159	2140	11239
160	2151	11211
161	2163	11191
162	2173	11161
163	2184	11135
164	2196	11114
165	2206	11086
166	2217	11060
167	2229	11041
168	2239	11012
169	2250	10987
170	2262	10966
171	2271	10935
172	2282	10912
173	2294	10894
174	2305	10866
175	2316	10844
176	2327	10824
177	2337	10794
178	2348	10769
179	2362	10764
180	2375	10746
181	2384	10719
182	2399	10713
183	2413	10702
184	2429	10702
185	2444	10698
186	2459	10692
187	2471	10673
188	2482	10652
189	2493	10632
190	2504	10609
191	2515	10585
192	2527	10566
193	2537	10544
194	2547	10516
195	2558	10495
196	2568	10468
197	2578	10445
198	2589	10424
199	2599	10398
200	2611	10379
201	2623	10362
202	2632	10336
203	2643	10313
204	2654	10294
205	2664	10268
206	2674	10247
207	2686	10229
208	2696	10204
209	2707	10184
210	2718	10165
211	2728	10143
212	2739	10122
213	2750	10102
214	2760	10077
215	2770	10057
216	2780	10032
217	2790	10010
218	2801	9992
219	2811	9969
220	2823	9953
221	2835	9937
222	2845	9913
223	2856	9895
224	2868	9878
225	2878	9858
226	2890	9841
227	2903	9830
228	2917	9821
229	2926	9798
230	2940	9787
231	2953	9776
232	2967	9767
233	2978	9749
234	2989	9732
235	3001	9718
236	3014	9706
237	3024	9684
238	3035	9666
239	3048	9653
240	3058	9631
241	3068	9611
242	3081	9598
243	3091	9577
244	3101	9559
245	3114	9544
246	3123	9522
247	3134	9503
248	3146	9488
249	3155	9467
250	3166	9448
251	3177	9432
252	3187	9410
253	3198	9392
254	3209	9377
255	3221	9361
256	3232	9344
